o1 (999100.2): o3
o2 (999100.2): o4
o3 (1499499.0): o1 o32
o4 (1748499.75): o2 o33
o5 (16725.25): o16 o17
o6 (16725.25): o18 o19
o7 (16725.3245): o20 o21
o8 (11174.9255): o9 o22
o9 (227802.378209): o8 o37
o10 (16725.25): o23 o24
o11 (11175.0): o12 o25
o12 (227802.378209): o11 o39
o13 (16725.25): o26 o27
o14 (16725.25): o28 o29
o15 (16725.25): o30 o31
o16 (185185.246): o5 o32
o17 (216847.746): o5 o34
o18 (216847.746): o6 o34
o19 (216847.8205): o6 o35
o20 (216847.8205): o7 o35
o21 (216847.8205): o7 o36
o22 (216847.8205): o8 o36
o23 (216844.909791): o10 o37
o24 (216847.8205): o10 o38
o25 (216847.8205): o11 o38
o26 (216844.909791): o13 o39
o27 (216847.8205): o13 o40
o28 (216847.8205): o14 o40
o29 (216844.909791): o14 o41
o30 (216847.8205): o15 o41
o31 (185185.3205): o15 o33
o32 (429973.596): o3 o16
o33 (180472.984692): o4 o31
o34 (16725.25): o17 o18
o35 (16725.25): o19 o20
o36 (16725.25): o21 o22
o37 (11174.9255): o9 o23
o38 (16725.25): o24 o25
o39 (11174.9255): o12 o26
o40 (16725.25): o27 o28
o41 (16725.25): o29 o30

